,mu_period,vol_daily
AAPL,0.013101809658110142,0.01579243130981922
MSFT,0.008689512498676777,0.0151861272752285
SPY,0.01129522081464529,0.009495226666331291
QQQ,0.012468138709664345,0.012771070934832096
GLD,0.015311479568481445,0.009918740950524807
TLT,-0.006124981213361025,0.009362360462546349
IWM,0.005648577585816383,0.01356744859367609
EFA,0.0076218354515731335,0.009431691840291023
BTC-USD,0.006600219290703535,0.03285405784845352
ETH-USD,0.0019974103197455406,0.04352506250143051
