strategy,key,label,total_return,cagr,vol,sharpe,max_dd,avg_turnover,n_rebalances,var_95_daily,cvar_95_daily,n_days
LSTM+MV,lstm_mv,FULL-public,0.615746536801552,0.14372220926299706,0.14808773925794788,0.9490370301419802,-0.16959902688523,0.325757632851592,44,0.014556888824272444,0.021432943098244495,933
LSTM+HRP,lstm_hrp,FULL-public,0.7243748756078636,0.16474183099573048,0.11311192856576709,1.3578798861285954,-0.10741537332982543,0.14503002054132252,44,0.010633588436540862,0.015909680006040733,933
Equal-weight,equal,FULL-public,1.149487527555682,0.23884103062843964,0.17266787348332774,1.2834856055794572,-0.22137872745136156,0.0705116216214199,44,0.015739024050783187,0.023093702247574562,933
Static MV (hist. mean),static_mv,FULL-public,0.9447929250813425,0.2046235205725928,0.20201143973664365,0.9903305937887971,-0.18561569518346055,0.6108893920348488,44,0.018966094125141348,0.028506051544113616,933
Buy-and-hold 60/40,bh_60_40,FULL-public,0.5488405957221654,0.13026438388434625,0.11588778615950224,1.0776507378839737,-0.14085318272915737,0.022727272727272728,1,0.011285256577584899,0.016251716358449388,933
